col1,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,LAMOST_sep,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob,H_alfa,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
691,693,91.53117,23.022484,2.0,13.72,13.25,12.57,12.25,12.19,11.88,11.72,11.65,691.00,0.1,1.0,J060607.48+230120.9,91.5311753,23.0224758,0.0423,0.0394,168.9,11.628,11.602,11.327,8.809,0.023,0.023,0.192,,0.022,0.02,0.021,912122701351046728,0000,0,11nn,AABU,16,52,22,54,0.025,0.034338
518,519,91.534055,22.674978,2.0,17.43,16.43,15.72,15.38,15.23,14.44,14.22,13.99,518.00,0.15,1.0,J060608.12+224030.0,91.5338719,22.6750184,0.057,0.0563,139.6,13.708,13.636,12.283,8.491,0.027,0.036,,,0.029,0.032,0.038,912122701351029139,dd00,1,33nn,AAUU,-58,135,94,142,0.655,0.625419
846,848,91.700101,22.355047,2.0,15.22,14.88,14.28,13.97,13.82,13.11,12.93,12.81,846.00,0.06,1.0,J060648.02+222118.2,91.7000924,22.355056,0.0466,0.0443,156.9,12.681,12.671,11.582,8.845,0.024,0.027,,,0.023,0.023,0.023,912122701351021261,0000,0,00nn,AAUU,0,78,28,87,0.138,0.043129
53,53,92.07514,22.443044,2.0,15.28,14.73,13.86,13.5,13.21,12.06,11.56,11.35,53.00,0.73,1.0,J060818.03+222634.9,92.075128,22.4430408,0.0394,0.0375,164.8,11.166,11.048,10.836,8.752,0.024,0.021,0.115,,0.021,0.022,0.022,928122701351012774,0000,0,110n,AABU,114,49,78,50,0.043,0.041699
791,793,92.324231,23.562838,2.0,12.9,12.23,12.01,11.76,11.87,11.48,11.44,11.38,791.00,0.31,0.0,J060917.81+233346.2,92.3242403,23.5628464,0.041,0.038,171.5,11.416,11.435,11.677,8.942,0.023,0.022,0.305,,0.019,0.019,0.018,924124201351005461,0000,0,11nn,AABU,-6,59,27,55,0.041,0.043203
693,695,92.32424,23.56279,2.0,12.9,12.23,12.01,11.76,11.87,11.48,11.44,11.38,693.00,0.31,0.0,J060917.81+233346.2,92.3242403,23.5628464,0.041,0.038,171.5,11.416,11.435,11.677,8.942,0.023,0.022,0.305,,0.019,0.019,0.018,924124201351005461,0000,0,11nn,AABU,-6,59,27,55,0.041,0.203123
601,603,92.3242417,23.5627889,2.0,12.9,12.23,12.01,11.76,11.87,11.48,11.44,11.38,601.00,0.31,0.0,J060917.81+233346.2,92.3242403,23.5628464,0.041,0.038,171.5,11.416,11.435,11.677,8.942,0.023,0.022,0.305,,0.019,0.019,0.018,924124201351005461,0000,0,11nn,AABU,-6,59,27,55,0.041,0.207129
461,462,92.4575947,23.5155669,2.0,14.4,14.27,13.98,13.83,13.84,13.29,13.2,13.18,461.00,0.08,0.0,J060949.83+233056.1,92.4576319,23.5155855,0.0547,0.0509,3.3,13.108,13.139,12.071,8.722,0.026,0.032,,,0.023,0.025,0.031,924124201351005642,0000,0,nnnn,AAUU,-104,94,36,95,0.198,0.139969
614,616,92.4660947,23.6290914,2.0,13.65,12.42,12.1,11.88,11.93,11.53,11.48,11.43,614.00,0.08,0.0,J060951.86+233744.7,92.4660953,23.629097,0.04,0.0375,173.8,11.417,11.439,11.624,8.669,0.023,0.021,0.274,,0.021,0.02,0.022,924124201351005437,0000,0,00nn,AABU,27,54,7,56,0.198,0.020212
1070,1072,92.477575,23.564027,2.0,15.14,15.01,14.74,14.6,14.6,14.11,13.99,13.96,1.070.00,0.06,0.0,J060954.61+233350.5,92.477561,23.5640515,0.0636,0.0613,95.3,13.88,13.902,12.378,8.996,0.029,0.042,,,0.026,0.031,0.04,924124201351005855,0000,0,00nn,AAUU,-102,140,-92,154,0.141,0.099599
343,344,92.5500792,23.5248889,2.0,14.88,14.84,14.56,14.42,14.42,13.86,13.75,13.65,343.00,0.23,0.0,J061011.99+233129.5,92.5499909,23.5248677,0.0581,0.0564,101.0,13.512,13.621,12.259,8.881,0.027,0.036,,,0.027,0.036,0.035,924124201351007245,0000,0,00nn,AAUU,5,118,252,132,0.309,0.301299
349,350,92.5612708,23.6281111,2.0,14.04,14.32,14.02,13.83,13.83,13.29,13.17,13.1,349.00,0.14,0.0,J061014.71+233741.0,92.5612969,23.6280625,0.0509,0.0494,137.0,13.075,13.122,11.696,8.777,0.026,0.029,,,0.023,0.026,0.026,924124201351005666,0000,0,00nn,AAUU,-85,99,83,108,0.163,0.195092
608,610,92.578309,23.606952,2.0,14.77,15.02,14.64,14.45,14.44,13.92,13.83,13.72,608.00,0.12,0.0,J061018.79+233624.9,92.5783325,23.6069403,0.0604,0.0586,128.6,13.781,13.892,12.167,8.889,0.027,0.04,,,0.023,0.032,0.035,924124201351005828,0000,0,00nn,AAUU,-10,136,165,147,0.022,0.0883
565,566,92.58067,23.76953,2.0,13.6,13.32,12.68,12.5,12.53,12.06,12.01,11.95,565.00,0.68,1.0,J061019.35+234610.1,92.5806661,23.7694749,0.0435,0.0402,163.9,11.885,11.903,11.912,8.88,0.024,0.024,0.343,,0.021,0.02,0.021,924124201351018719,0000,0,00nn,AABU,71,66,43,67,0.143,0.198698
366,367,92.5806708,23.7695306,2.0,13.6,13.32,12.68,12.5,12.53,12.06,12.01,11.95,366.00,0.68,1.0,J061019.35+234610.1,92.5806661,23.7694749,0.0435,0.0402,163.9,11.885,11.903,11.912,8.88,0.024,0.024,0.343,,0.021,0.02,0.021,924124201351018719,0000,0,00nn,AABU,71,66,43,67,0.143,0.201041
600,602,92.6009792,23.9796111,2.0,12.87,11.58,12.19,11.54,11.57,11.1,10.99,10.97,600.00,0.09,0.0,J061024.24+235846.5,92.6010199,23.9795859,0.0399,0.0368,0.3,10.946,10.961,11.156,8.548,0.023,0.021,0.175,,0.02,0.022,0.02,924124201351018607,0000,0,11nn,AABU,74,46,36,46,0.073,0.161634
768,770,92.61067,23.93856,2.0,13.87,12.81,12.44,12.27,12.27,11.72,11.66,11.59,768.00,0.05,0.0,J061026.55+235618.7,92.6106433,23.9385508,0.0413,0.0391,171.8,11.564,11.58,11.251,8.846,0.024,0.022,0.157,,0.019,0.022,0.02,924124201351018638,0000,0,00nn,AABU,-47,53,-68,55,0.098,0.094025
854,856,92.7839,23.5230306,2.0,13.54,12.85,12.29,12.08,12.08,11.5,11.47,11.36,854.00,0.15,0.0,J061108.10+233123.5,92.7837739,23.5232118,0.0415,0.0384,165.0,11.241,11.26,11.736,8.399,0.023,0.022,0.262,,0.024,0.026,0.028,924124201351002966,0000,0,00nn,AABU,5,49,27,51,0.275,0.773737
154,154,92.798468,23.590042,2.0,13.47,13.41,12.72,12.5,12.51,12.04,11.99,11.92,154.00,0.65,0.0,J061111.63+233524.1,92.7984781,23.5900429,0.0438,0.0405,157.6,11.858,11.902,11.74,8.495,0.024,0.024,0.26,0.357,0.021,0.023,0.022,924124201351002915,0000,0,11nn,AABC,30,61,106,73,0.01,0.033562
914,916,92.803773,24.587649,2.0,14.9,14.68,14.25,13.99,13.96,13.46,13.31,13.25,914.00,0.17,1.0,J061112.91+243515.4,92.8037959,24.5876157,0.0502,0.0488,158.5,13.12,13.078,12.369,8.087,0.025,0.03,0.491,,0.024,0.028,0.027,924124201351047469,0000,0,01nn,AACU,-85,99,70,104,0.149,0.141361
332,333,92.9184917,23.8194097,2.0,12.6,12.09,12.18,11.72,11.74,11.31,11.28,11.22,332.00,0.07,0.0,J061140.44+234909.4,92.9185216,23.8193018,0.0391,0.036,4.5,11.118,11.136,11.012,8.947,0.023,0.02,0.144,,0.023,0.023,0.018,924124201351021245,hh00,0,00nn,AABU,36,49,42,50,0.095,0.400817
152,152,92.918508,23.819286,2.0,12.6,12.09,12.18,11.72,11.74,11.31,11.28,11.22,152.00,0.07,0.0,J061140.44+234909.4,92.9185216,23.8193018,0.0391,0.036,4.5,11.118,11.136,11.012,8.947,0.023,0.02,0.144,,0.023,0.023,0.018,924124201351021245,hh00,0,00nn,AABU,36,49,42,50,0.095,0.07244
