VPHAS-OB1,RAJ2000,DEJ2000,umag,gmag,rmag,r2mag,imag,Hamag,Jmag,Hmag,Kmag,logTeff,A0,Rv,mu,chi2,OB,Halpha,SUB,LUM
1323,156.184474,-57.759577,19.193,18.759,17.0,17.006,15.949,16.595,14.004,13.41,13.098,4.515,6.307,3.907,15.4,0.92,1,0,0,0
1324,156.018159,-57.901563,15.002,14.945,13.789,13.787,13.103,13.456,11.901,11.572,11.402,4.357,4.055,3.725,12.34,1.62,1,0,0,0
1325,155.611968,-58.245312,15.807,15.794,14.602,14.61,13.921,14.013,12.518,11.984,11.663,4.312,4.622,4.515,12.16,4.97,1,1,0,0
1329,155.550291,-58.303922,16.46,16.379,15.157,15.166,14.438,14.845,13.187,12.826,12.632,4.377,4.268,3.728,13.74,0.66,1,0,0,0
1330,156.154394,-57.800332,18.823,18.116,16.306,16.315,15.25,15.928,13.326,12.763,12.47,4.35,6.026,3.733,13.14,1.22,1,0,0,0
1332,155.323734,-58.492873,17.578,17.247,15.907,15.907,15.075,15.569,13.564,13.174,12.899,4.303,4.737,3.874,13.31,3.05,1,0,0,0
1334,155.334853,-58.495413,16.626,15.996,14.289,14.294,13.23,13.887,11.289,10.668,10.404,4.338,6.04,3.933,10.93,5.31,1,0,0,1
1338,156.512911,-57.528627,15.53,14.993,13.144,13.143,12.063,12.731,10.211,9.678,9.409,4.572,6.172,3.582,12.41,2.19,1,0,0,1
1341,155.521071,-58.374273,16.807,16.376,14.882,14.874,14.014,14.534,12.494,12.053,11.806,4.325,4.927,3.659,12.39,0.6,1,0,0,0
1342,155.597337,-58.315274,15.57,15.494,14.223,14.229,13.457,13.897,12.149,11.762,11.517,4.411,4.535,3.791,12.93,1.05,1,0,0,0
1344,156.277078,-57.747603,20.546,19.741,17.797,17.83,16.641,17.462,14.497,13.86,13.42,4.366,6.71,3.908,14.2,1.36,1,0,0,0
1345,156.061162,-57.932818,16.21,16.18,15.07,15.078,14.409,14.782,13.218,12.876,12.731,4.343,3.976,3.81,13.54,2.2,1,0,0,0
1347,155.476648,-58.420316,17.975,17.157,15.323,15.323,14.208,14.9,12.107,11.501,11.196,4.307,6.311,3.875,11.45,5.54,1,0,0,1
1349,157.071661,-57.065425,17.691,17.045,15.362,15.364,14.429,14.98,12.707,12.29,12.054,4.326,5.309,3.515,12.6,4.67,1,0,0,0
