_RAJ2000,_DEJ2000,Cluster,MG,ymag,e_ymag,b-y,e_b-y,y-Ha,e_y-Ha,WHa05,WHa06,WHa07,vsini,e_vsini,Teff,e_Teff,logg,e_logg,loggP,Mass,e_Mass,Rad,e_Rad,Vc,SB?,Code,clean,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag
118.81375,-27.8073333,NGC 2483,30,13.736,0.028,0.378,0.038,0.537,0.05,,,,,,,,,,,,,,,,,O,false,14.23,0.0,13.98,0.0,13.12,0.0,13.35,0.0,13.02,0.01,12.093,12.119,12.221,8.982,12.486,12.245,12.156,0.024,0.022,,,0.026,0.025,0.023
118.813875,-27.9955833,NGC 2483,341,13.655,0.03,0.802,0.045,0.996,0.048,,,,,,,,,,,,,,,,,O,false,15.53,0.0,14.3,0.0,12.65,0.0,13.0,0.0,12.37,0.0,10.416,10.478,10.534,8.875,11.242,10.696,10.518,0.022,0.021,0.086,,0.023,0.023,0.021
118.8237083,-27.9105,NGC 2483,204,13.725,0.033,1.034,0.053,1.228,0.05,,,,,,,,,,,,,,,,,O,true,16.8,0.01,14.57,0.0,12.49,0.0,12.88,0.0,12.09,0.0,9.554,9.696,9.523,9.015,10.634,9.932,9.684,0.023,0.02,0.043,,0.022,0.022,0.021
118.8318333,-27.8628889,NGC 2483,118,10.928,0.014,0.566,0.023,0.768,0.034,,,,,,,,,,,,,,,,,O,false,12.25,0.0,,,,,,,,,8.678,8.74,8.68,8.425,9.273,8.869,8.759,0.023,0.021,0.028,0.276,0.024,0.018,0.023
118.8377917,-27.8302778,NGC 2483,67,13.021,0.022,0.359,0.031,0.534,0.043,,,,,,,,,,,,,,,,,O,false,13.51,0.0,13.27,0.0,12.49,0.0,12.69,0.0,12.4,0.0,11.634,11.658,11.896,9.109,11.927,11.699,11.67,0.024,0.022,0.273,,0.022,0.023,0.024
118.842625,-27.9566667,NGC 2483,278,13.347,0.024,0.348,0.033,0.527,0.046,,,,,,,,,,,,,,,,,O,true,13.79,0.0,13.61,0.0,12.84,0.0,13.04,0.0,12.74,0.0,12.012,12.046,11.996,9.144,12.292,12.072,12.049,0.023,0.022,0.333,,0.023,0.025,0.027
118.8488333,-27.8408611,NGC 2483,83,13.682,0.027,0.375,0.037,0.612,0.048,,,,,,,,,,,,,,,,,O,false,14.1,0.0,14.01,0.0,13.13,0.0,13.37,0.0,13.02,0.0,12.064,12.108,12.474,8.471,12.491,12.198,12.144,0.024,0.024,0.466,,0.026,0.031,0.026
118.857875,-27.9740278,NGC 2483,312,14.242,0.034,0.224,0.045,0.328,0.06,,,,,,,,,,,,,,,,,B,false,14.17,0.0,14.37,0.0,13.92,0.0,14.08,0.0,13.89,0.0,13.59,13.705,12.138,8.938,13.679,13.62,13.597,0.026,0.036,,,0.028,0.025,0.044
118.8650417,-27.8785278,NGC 2483,133,12.626,0.022,0.749,0.035,0.969,0.04,,,,,,,,,,,,,,,,,O,false,14.71,0.0,13.25,0.0,,,12.0,0.0,,,9.509,9.612,9.566,9.111,10.386,9.734,9.581,0.023,0.021,0.038,0.505,0.026,0.022,0.023
118.8694583,-27.9240556,NGC 2483,228,12.205,0.016,0.167,0.023,0.204,0.038,,,,,,,,,,,,,,,,,B,false,12.72,0.0,,,11.96,0.0,,,11.9,0.0,11.432,11.393,11.363,9.131,11.618,11.546,11.479,0.024,0.022,0.18,,0.024,0.022,0.026
