,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
1893,20.024,19.601,17.932,17.055,17.144,15.333,14.744,14.402,-1.1702166666666625,-4.629470588235296,0.19739534883721468,1.6614883720930325,1.4640930232558178,umag_gmag_rmag_imag,-59.940586,17.964,4.378,5.599,2.05,5318,3.86,15.44,160.107666,1,1,0,0
1894,20.393,19.99,18.094,16.833,17.609,14.186,13.236,12.754,-1.887816666666669,-2.7067058823529364,-1.5640697674418658,-1.4546744186046654,0.1093953488371997,umag_gmag_rmag_imag,-59.680048,18.084,4.521,8.11,1.98,5321,4.875,14.85,160.392854,1,0,1,0
1907,19.932,19.919,18.268,17.182,17.373,14.994,14.103,13.712,-1.959900000000005,-5.725529411764707,-0.4711627906976824,0.7400930232558004,1.2112558139534826,umag_gmag_rmag_imag,-59.650637,18.215,4.588,7.093,2.78,5365,4.855,16.73,160.473833,1,1,1,0
1910,18.68,18.626,17.367,16.647,16.575,15.015,14.398,14.064,-1.2540000000000056,-5.024117647058837,0.23651162790697305,1.6612790697674364,1.4247674418604634,umag_gmag_rmag_imag,-59.704282,17.342,4.3,5.072,2.0,5374,4.788,14.41,160.421719,1,1,0,0
1913,20.106,19.805,18.004,17.076,17.24,15.077,14.343,13.987,-1.3848666666666658,-4.597588235294136,-0.11472093023255076,1.3086976744186156,1.423418604651166,umag_gmag_rmag_imag,-60.029167,18.004,4.485,6.433,6.55,5386,4.188,15.95,160.083815,1,1,1,0
1914,19.821,19.483,18.005,17.239,17.055,15.826,15.207,14.808,-1.053566666666662,-5.753176470588231,0.8044186046511662,2.706046511627914,1.9016279069767479,umag_gmag_rmag_imag,-60.043046,17.995,4.321,4.901,4.38,5396,3.846,15.52,160.071576,1,1,0,0
1915,19.669,19.495,18.035,17.311,16.979,15.616,15.068,14.701,-1.1412666666666673,-6.596823529411774,1.0155813953488382,3.239953488372096,2.2243720930232582,umag_gmag_rmag_imag,-60.110063,18.008,4.354,5.243,5.82,5401,4.275,15.55,160.008902,1,1,1,0
1918,19.802,19.771,18.345,17.546,17.299,15.704,15.342,14.938,-1.4205166666666666,-6.675705882352941,0.6571162790697657,2.651790697674418,1.9946744186046526,umag_gmag_rmag_imag,-59.704671,18.346,4.458,5.55,3.6,5406,4.406,16.67,160.460651,1,1,1,0
1920,20.246,19.886,18.372,17.605,17.706,15.92,15.274,14.938,-1.0333833333333327,-3.9102352941176513,0.10397674418604835,1.3854418604651197,1.2814651162790713,umag_gmag_rmag_imag,-59.696536,18.421,4.297,5.274,4.19,5408,4.195,15.31,160.470568,1,1,0,0
1923,20.081,19.79,18.443,17.619,17.721,16.06,15.637,15.161,-1.2059333333333355,-4.338294117647068,0.03244186046511599,1.1446046511627876,1.1121627906976717,umag_gmag_rmag_imag,-59.723311,18.378,4.314,4.977,1.23,5414,4.12,15.74,160.446649,1,1,1,0
1930,19.609,18.96,16.887,15.591,16.261,12.953,12.097,11.679,-1.7054000000000005,-3.3647647058823615,-1.049372093023254,-0.518930232558136,0.5304418604651178,umag_gmag_rmag_imag,-59.162743,16.896,4.559,8.065,2.65,5440,4.368,14.24,161.073523,1,1,0,0
1942,20.205,19.795,18.12,17.163,18.079,15.493,14.73,14.506,-1.3285500000000043,0.1471176470588177,-1.911953488372096,-2.3458837209302343,-0.4339302325581387,umag_gmag_rmag_imag,-60.156857,18.112,4.456,5.855,3.62,5488,3.888,16.23,160.048121,1,0,1,0
