,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,RAJ2000,DEJ2000,em
155,12.38,12.12,12.37,11.74,11.74,11.51,11.47,11.43,0.3779653679653695,0.01777777777778,0.06644859813084322,-0.7563157894736813,-0.6023364485981282,0.6400000000000006,-0.6147368421052626,-0.5414485981308406,0.379999999999999,0.629999999999999,0.006013071895423203,gmag_rmag_imag | gmag_rmag_Hamag,102.36025,11.521113,0.0
159,13.17,11.53,12.71,12.45,12.55,12.18,12.1,12.07,2.196796536796538,2.226432748538012,2.159532710280375,0.14374269005847679,0.3044859813084102,0.8452336448598154,-1.330526315789476,-1.2540186915887865,-0.8457009345794382,0.28803738317757205,0.05450980392156925,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,100.9836472,0.1551842,0.0
160,14.07,14.5,12.48,11.84,12.0,11.29,11.17,11.07,-1.3831601731601726,-2.125555555555555,-1.7033644859813077,0.8115204678362566,1.1234579439252332,2.4303738317757015,1.6494736842105255,1.7979439252336442,2.7788785046728974,0.6848598130841128,0.035032679738561626,umag_gmag_rmag | umag_gmag_Hamag,90.052214,23.491268,0.0
163,14.13,11.8,13.06,12.72,12.88,12.12,11.99,11.91,2.9245454545454543,2.9164327485380115,2.880093457943925,0.6564327485380123,0.8950467289719632,1.6103738317757013,-1.4568421052631575,-1.3432710280373827,-0.8011214953271026,0.38485981308411205,0.06202614379084863,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,346.462287,57.556201,0.0
166,13.22,12.25,12.39,11.8,11.8,11.48,11.42,11.39,1.036060606060607,0.6831578947368433,0.7407943925233655,0.11233918128655007,0.25654205607476666,1.42,-0.4815789473684215,-0.4129439252336453,0.4499999999999993,0.5899999999999999,0.03450980392156967,umag_gmag_rmag | umag_gmag_imag | gmag_rmag_imag | gmag_rmag_Hamag,346.818019,58.917903,0.0
168,13.12,12.26,12.34,11.69,11.74,11.33,11.25,11.22,0.8977489177489172,0.496666666666666,0.5951401869158875,-0.01064327485380201,0.19682242990654186,1.4926168224299072,-0.45631578947368445,-0.35757009345794377,0.6071495327102812,0.6640186915887856,0.05450980392156925,gmag_rmag_imag,346.231362,59.477259,0.0
170,13.1,12.36,12.38,11.73,11.72,11.45,11.37,11.35,0.7494372294372302,0.33842105263157984,0.41401869158878596,-0.0706432748538025,0.0785046728971951,1.3574766355140182,-0.39631578947368573,-0.32532710280373967,0.6225700934579431,0.6471962616822434,0.06300653594771286,gmag_rmag_imag,345.92885,59.365698,1.0
176,13.64,12.76,12.91,11.78,11.97,10.89,10.8,10.65,0.9507792207792217,0.25532163742690117,0.47761682242990783,-0.6445029239766085,-0.18364485981308298,2.097943925233648,-0.8042105263157902,-0.5848598130841122,1.1211682242990668,1.1832710280373844,-0.037450980392157274,umag_gmag_rmag | gmag_rmag_imag | gmag_rmag_Hamag,59.558968,52.173405,1.0
178,13.87,12.81,12.44,12.27,12.27,11.72,11.66,11.59,0.8854112554112537,0.7157894736842088,0.7849532710280357,1.2232163742690056,1.2647663551401866,1.5999999999999996,0.2715789473684221,0.29135514018691694,0.5400000000000009,0.16999999999999993,0.0005228758169937286,umag_gmag_imag,92.61067,23.93856,0.0
179,13.45,12.18,12.44,11.69,11.78,11.45,11.39,11.35,1.392683982683982,0.9576608187134498,1.06626168224299,0.0977192982456141,0.368504672897196,1.8727102803738314,-0.6942105263157892,-0.5653271028037381,0.5568691588785047,0.775233644859813,0.026013071895422776,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,91.3938506,24.6509514,0.0
180,13.45,12.18,12.44,11.69,11.78,11.45,11.39,11.35,1.392683982683982,0.9576608187134498,1.06626168224299,0.0977192982456141,0.368504672897196,1.8727102803738314,-0.6942105263157892,-0.5653271028037381,0.5568691588785047,0.775233644859813,0.026013071895422776,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,91.393848,24.65092,0.0
186,13.38,14.36,12.33,11.75,11.78,11.54,11.56,11.49,-1.9378787878787862,-2.643684210526314,-2.2941121495327086,0.344502923976609,0.5154205607476637,1.6675700934579438,1.6942105263157887,1.7755607476635504,2.632289719626167,0.5884112149532709,-0.07947712418300812,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,100.970449,1.301154,0.0
191,13.56,12.43,12.39,11.71,11.81,11.22,11.1,11.06,1.1111255411255423,0.6710526315789489,0.8142056074766368,0.3428654970760239,0.6062616822429906,1.9752336448598122,-0.35368421052631643,-0.2283177570093466,0.7942990654205593,0.7080373831775697,0.08601307189542656,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag,346.5446147,58.8044772,1.0
195,14.38,15.89,12.68,11.91,11.88,10.9,10.58,10.26,-3.0246753246753246,-4.046959064327485,-3.552476635514018,0.7633918128654988,0.9224299065420584,2.4324299065420574,2.764210526315791,2.839906542056076,3.9577102803738327,0.7615887850467288,0.04810457516339878,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,59.058908,52.434199,1.0
196,13.31,12.27,12.37,11.81,11.82,11.68,11.63,11.64,1.087186147186148,0.7467836257309957,0.8107943925233658,0.2588304093567282,0.40542056074766597,1.512523364485981,-0.4242105263157883,-0.3544392523364477,0.467429906542055,0.5628037383177557,0.05849673202614254,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag,102.4885544,11.5830053,0.0
227,16.06,16.28,16.14,15.96,15.98,15.92,16.0,15.63,-0.28606060606060874,-0.42397660818713706,-0.37280373831775976,-0.29894736842105407,-0.23551401869159072,0.12504672897195995,0.03578947368421127,0.06598130841121548,0.3348598130841121,0.1856074766355136,-0.3943790849673196,Jmag_Hmag_Kmag,104.22319,6.304176,1.0
255,16.77,16.58,15.99,15.59,15.79,15.01,15.04,14.76,-0.0883982683982662,-0.44105263157894503,-0.21238317757009167,0.29345029239765985,0.5856074766355124,1.430467289719625,0.35842105263157686,0.49747663551401633,1.1385981308411193,0.4560747663551403,-0.26790849673202494,Jmag_Hmag_Kmag,88.270422,22.163427,1.0
264,19.45,17.23,14.22,12.36,13.63,9.65,8.91,8.51,0.7996969696969689,-0.8842690058479548,0.3863551401869154,2.9675438596491204,4.656542056074765,8.680467289719628,1.9331578947368413,2.737056074766355,5.8135981308411235,2.216074766355142,0.40013071895424834,umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,308.255134,40.542745,0.0
265,18.82,17.44,14.65,12.95,14.1,10.51,9.86,9.51,0.06350649350649218,-1.4820467836257327,-0.32121495327102956,2.1021637426900575,3.635420560747663,7.310186915887852,1.8057894736842108,2.535560747663552,5.344439252336451,2.0224299065420572,0.352614379084968,umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,307.867893,40.549046,0.0
271,17.74,16.6,14.11,12.59,13.6,10.12,9.48,9.14,-0.034935064935068816,-1.4160818713450327,-0.38803738317757364,1.781111111111111,3.13429906542056,6.41485981308411,1.6100000000000023,2.25406542056075,4.760420560747665,1.8031775700934576,0.35111111111111004,rmag_imag_Hamag,308.5715444,41.1084692,0.0
273,18.04,16.56,14.16,12.63,13.64,10.17,9.45,9.09,0.3475324675324687,-1.0250877192982437,-0.007289719626166535,2.0189473684210526,3.374579439252336,6.67485981308411,1.5142105263157886,2.1594392523364476,4.680420560747661,1.8131775700934574,0.4141176470588247,rmag_imag_Hamag,308.903828,42.207888,0.0
274,18.31,16.86,14.39,12.86,13.88,10.36,9.66,9.31,0.28450216450216437,-1.0997076023391816,-0.06785046728971933,2.05894736842105,3.424299065420559,6.727383177570094,1.584210526315788,2.234065420560747,4.75785046728972,1.8159813084112164,0.40261437908496694,umag_imag_Hamag | rmag_imag_Hamag,306.065207,41.793389,0.0
275,17.56,16.46,13.81,12.2,13.27,9.78,9.14,8.75,-0.15043290043290258,-1.6154385964912308,-0.5248130841121519,1.791637426900582,3.225140186915885,6.699999999999999,1.717894736842105,2.4001869158878506,5.0550000000000015,1.9100000000000013,0.3086274509803905,umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,308.1472356,41.2459394,0.0
