,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
291,17.29,16.84,15.42,15.02,15.14,14.479,14.088,14.105,-0.27666666666666784,-1.345294117647056,0.145813953488369,1.289534883720925,1.143720930232556,gmag_rmag_imag_Hamag,,-25.4686111,0.0,,0.055,0.0,,,False,0.563,,,0.01,,,0.417,739,15.743,0.01,Haffner 16,0.0,0.03,0.075,0.041,,,,,0.036,117.5445,,,,,0.047,O
292,19.22,18.53,17.03,16.59,16.75,15.902,15.65,15.322,-0.10933333333333772,-1.105294117647069,0.28441860465116037,1.4160465116279046,1.131627906976744,gmag_rmag_imag_Hamag,,-25.4843056,0.01,,0.103,0.01,,,True,0.65,,,0.02,,,0.413,831,17.459,0.01,Haffner 16,0.01,0.078,0.2,0.104,,,,,0.059,117.54475,,,,,0.095,O
293,18.16,17.41,15.8,15.33,15.48,14.612,14.157,14.093,-0.10383333333333433,-1.3017647058823556,0.3697674418604644,1.6344186046511608,1.2646511627906964,gmag_rmag_imag_Hamag,,-25.4914444,0.0,,0.06,0.0,,,True,0.713,,,0.01,,,0.52,868,16.219,0.01,Haffner 16,0.01,0.037,0.069,0.052,,,,,0.035,117.5449167,,,,,0.038,O
294,17.53,16.91,15.34,14.86,15.02,14.09,13.677,13.748,-0.25199999999999956,-1.4317647058823546,0.21441860465116364,1.4160465116279082,1.2016279069767444,gmag_rmag_imag_Hamag,,-25.4925,0.0,,0.055,0.0,,,True,0.694,,,0.01,,,0.541,877,15.752,0.0,Haffner 16,0.0,0.031,0.069,0.044,,,,,0.047,117.54575,,,,,0.066,O
295,18.58,18.07,16.58,16.16,16.29,15.586,15.073,15.121,-0.25299999999999845,-1.3494117647058794,0.18046511627907047,1.3711627906976798,1.190697674418609,gmag_rmag_imag_Hamag,,-25.5243333,0.01,,0.074,0.01,,,True,0.601,,,0.01,,,0.478,1039,16.963,0.01,Haffner 16,0.01,0.051,0.165,0.069,,,,,0.069,117.546,,,,,0.088,O
296,17.48,16.93,15.44,14.99,15.14,14.322,13.916,13.833,-0.26749999999999774,-1.373529411764699,0.1697674418604651,1.3144186046511623,1.1446511627906972,gmag_rmag_imag_Hamag,,-25.5193889,0.0,,0.055,0.0,,,True,0.636,,,0.01,,,0.47,1009,15.821,0.0,Haffner 16,0.01,0.031,0.044,0.043,,,,,0.023,117.5463333,,,,,0.022,O
298,18.02,17.44,15.95,15.53,15.64,14.818,14.55,14.386,-0.18300000000000138,-1.4076470588235235,0.30116279069766977,1.5379069767441809,1.236744186046511,gmag_rmag_imag_Hamag,,-25.4616111,0.01,,0.062,0.0,,,True,0.643,,,0.01,,,0.486,698,16.313,0.01,Haffner 16,0.01,0.039,0.09,0.053,,,,,0.039,117.54775,,,,,0.057,O
299,15.29,14.92,13.66,13.33,13.42,12.918,12.662,12.639,-0.22950000000000081,-1.1688235294117673,0.14186046511627876,1.1946511627906977,1.0527906976744188,gmag_rmag_imag_Hamag,,-25.5086111,0.0,,0.044,0.0,,,True,0.452,,,0.0,,,0.333,962,13.92,0.0,Haffner 16,0.0,0.015,0.026,0.022,,,,,0.028,117.5480417,,,,,0.022,O
302,18.39,17.82,16.26,15.76,15.95,14.948,14.604,14.707,-0.33833333333333604,-1.4176470588235444,0.0883720930232576,1.2109302325581415,1.1225581395348838,gmag_rmag_imag_Hamag,,-25.4561944,0.01,,0.067,0.01,,,False,0.682,,,0.01,,,0.508,663,16.66,0.01,Haffner 16,0.01,0.045,0.112,0.062,,,,,0.039,117.5518333,,,,,0.057,O
303,18.43,17.88,16.37,15.92,16.08,15.176,14.882,14.591,-0.26750000000000107,-1.3094117647058996,0.14441860465116785,1.286046511627914,1.141627906976746,gmag_rmag_imag_Hamag,,-25.4505833,0.01,,0.069,0.01,,,False,0.621,,,0.01,,,0.506,625,16.745,0.01,Haffner 16,0.01,0.047,0.096,0.064,,,,,0.054,117.5521667,,,,,0.072,O
