,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,ID,DEJ2000,w1_err,e_gmag,e_rmag,objtype_SIMBAD,w1,e_umag,Fe_type,h,h_err,k_err,e_imag,e_Hamag,Halpha_type,e_Kmag,e_Jmag,RAJ2000,e_Hmag,k,objtype_Hou
74,15.762,14.736,12.98,12.29,12.43,11.335,10.981,10.641,-0.22750000000000226,-2.5004705882353,0.671116279069766,2.1047906976744164,1.4336744186046504,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J034528.44+500326.0,50.057241,0.023,0.004,0.0,Emission-line Star,10.056,0.005,double-peak,10.981,0.024,0.023,0.0,0.0,I,0.023,0.021,56.368509,0.024,10.641,CBe
75,15.302,15.793,12.68,11.91,11.88,10.899,10.575,10.259,-1.889833333333332,-5.620411764705877,-0.41495348837209434,2.7671162790697643,3.1820697674418583,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J035614.13+522603.1,52.434199,0.023,0.012,0.0,Emission-line Star,10.04,0.007,,10.575,0.032,0.022,0.0,0.0,I,0.022,0.027,59.058908,0.032,10.259,CBe
76,17.713,16.449,15.63,14.97,15.17,14.133,13.836,13.609,0.06499999999999928,-1.6854117647058895,0.7570232558139549,1.115558139534888,0.35853488372093295,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,J053307.98+284749.2,28.797,0.025,0.005,0.0,,13.214,0.011,,13.836,0.022,0.036,0.0,0.0,I,0.036,0.026,83.28325,0.022,13.609,CBe
77,16.526,15.552,15.04,14.59,14.55,13.874,13.65,13.406,0.15650000000000175,-2.1677647058823437,1.0753953488372072,1.6794883720930196,0.6040930232558124,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,J052831.75+271146.6,27.196278,0.026,0.003,0.0,,13.154,0.006,,13.65,0.031,0.032,0.0,0.0,I,0.032,0.026,82.132292,0.031,13.406,CBe
78,16.991,14.926,14.01,13.39,13.66,12.396,11.856,11.767,0.9386666666666679,-0.17911764705882227,1.3805813953488382,1.6749534883720958,0.2943720930232575,umag_gmag_imag_Hamag,J065524.38+061235.8,6.209945,0.022,0.003,0.0,,11.659,0.008,,11.856,0.024,0.026,0.0,0.0,I,0.026,0.024,103.85162,0.024,11.767,CBe
79,15.564,14.665,14.41,14.09,14.03,13.516,13.37,13.265,0.3176666666666672,-1.537470588235299,1.051093023255816,1.444232558139537,0.393139534883721,umag_gmag_rmag_Hamag,J055342.76+215223.3,21.873139,0.024,0.003,0.0,,12.943,0.005,,13.37,0.026,0.028,0.0,0.0,I,0.028,0.024,88.428167,0.026,13.265,CBe
80,17.658,16.02,15.08,14.33,14.53,13.294,12.921,12.645,0.2755000000000021,-1.8884705882352981,1.1310232558139572,1.610558139534889,0.4795348837209316,umag_gmag_rmag_Hamag,J054955.18+325006.9,32.83525,0.024,0.004,0.0,,12.488,0.011,,12.921,0.023,0.026,0.0,0.0,I,0.026,0.023,87.479917,0.023,12.645,CBe
81,16.455,15.157,14.57,14.13,14.19,13.467,13.3,13.137,0.49866666666666604,-1.1384705882353017,1.1459069767441876,1.5947674418604696,0.44886046511628186,umag_gmag_rmag_Hamag,J052850.94+272112.0,27.353348,0.025,0.003,0.0,,12.877,0.006,,13.3,0.031,0.03,0.0,0.0,I,0.03,0.024,82.212254,0.031,13.137,CBe
82,16.526,15.552,15.04,14.59,14.55,13.874,13.65,13.406,0.15650000000000175,-2.1677647058823437,1.0753953488372072,1.6794883720930196,0.6040930232558124,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,J052831.75+271146.6,27.196278,0.026,0.003,0.0,,13.154,0.006,,13.65,0.031,0.032,0.0,0.0,I,0.032,0.026,82.132292,0.031,13.406,CBe
83,15.693,14.806,13.52,12.96,12.83,12.013,11.716,11.386,-0.1303333333333303,-3.537117647058821,1.2165348837209324,2.801837209302329,1.5853023255813965,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J055352.81+222544.5,22.429046,0.024,0.004,0.0,,11.247,0.006,unclassify,11.716,0.021,0.019,0.0,0.0,I,0.019,0.022,88.470081,0.021,11.386,CBe
84,15.693,14.806,13.52,12.96,12.83,12.013,11.716,11.386,-0.1303333333333303,-3.537117647058821,1.2165348837209324,2.801837209302329,1.5853023255813965,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J055352.81+222544.5,22.429046,0.024,0.004,0.0,,11.247,0.006,,11.716,0.021,0.019,0.0,0.0,I,0.019,0.022,88.470081,0.021,11.386,CBe
85,15.268,14.549,13.65,13.33,13.25,12.782,12.636,12.489,0.1376666666666675,-1.8457058823529433,0.9217906976744199,2.004976744186047,1.0831860465116272,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J061658.93+251525.8,25.257194,0.024,0.011,0.0,,12.323,0.005,double-peak,12.636,0.023,0.024,0.0,0.0,I,0.024,0.021,94.245542,0.023,12.489,CBe
86,15.268,14.549,13.65,13.33,13.25,12.782,12.636,12.489,0.1376666666666675,-1.8457058823529433,0.9217906976744199,2.004976744186047,1.0831860465116272,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J061658.92+251525.8,25.257169,0.024,0.011,0.0,,12.323,0.005,,12.636,0.023,0.024,0.0,0.0,I,0.024,0.021,94.245504,0.023,12.489,CBe
