,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,RAJ2000,DEJ2000,em
10109,20.383,18.371,17.45,16.71,17.24,15.592,15.243,14.948,0.6676666666666704,0.6655294117647004,0.668511627906984,0.36927906976745506,-0.2992325581395292,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,84.568534,28.517704,1.0
10110,18.866,16.98,16.21,15.59,16.02,14.697,14.277,14.294,0.7596666666666643,0.6677647058823435,0.7960000000000005,0.5760000000000014,-0.2199999999999992,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,86.385285,28.632368,1.0
10111,17.698,15.802,15.08,14.49,14.88,13.509,13.202,13.037,0.824166666666668,0.6136470588235343,0.9073953488372092,0.7314883720930221,-0.17590697674418732,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,85.481836,31.02465,1.0
10112,18.908,17.011,16.2,15.68,16.04,14.786,14.53,14.435,0.9523333333333364,0.8711176470588242,0.9844418604651202,0.9666046511627964,-0.01783720930232391,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,85.602363,30.956364,1.0
10113,19.966,17.98,17.09,16.43,16.89,15.279,14.969,14.965,0.7870000000000006,0.7036470588235342,0.819953488372092,0.650883720930231,-0.1690697674418613,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,85.41042,31.360688,1.0
10114,20.592,18.381,17.33,16.67,17.16,15.583,15.07,15.025,1.0120000000000051,1.12100000000001,0.9689069767441891,0.8917674418604746,-0.07713953488371472,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,85.590949,30.997274,1.0
10115,19.792,17.981,17.12,16.54,16.95,15.657,15.289,15.045,0.7573333333333301,0.7209999999999888,0.7716976744186048,0.6887441860465127,-0.08295348837209215,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,85.5216,31.03575,1.0
10120,16.991,15.458,14.06,13.61,13.92,12.894,12.69,12.547,0.7154999999999977,0.6353529411764661,0.7471860465116266,1.4314651162790675,0.6842790697674408,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,85.14963,29.193814,1.0
10123,17.045,15.073,14.24,13.55,13.98,12.567,12.235,12.05,0.7185000000000026,0.30494117647059027,0.8820000000000026,0.7250000000000041,-0.15699999999999859,umag_gmag_rmag_imag,85.414086,30.446773,1.0
10124,17.926,16.194,15.57,15.1,15.43,14.293,14.071,13.833,0.878166666666665,0.834352941176466,0.8954883720930228,0.7597209302325569,-0.13576744186046608,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,85.070164,30.351599,1.0
10126,17.983,16.197,15.4,14.82,15.19,13.877,13.573,13.529,0.7323333333333348,0.4395294117647013,0.8480930232558178,0.7932325581395399,-0.05486046511627796,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,85.502713,30.669069,1.0
10127,20.76,18.494,17.17,16.21,16.89,14.735,14.287,14.044,0.5220000000000007,0.4707058823529351,0.5422790697674453,0.30069767441860806,-0.2415813953488377,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,85.161972,31.163818,1.0
10129,19.391,17.284,16.21,15.44,15.95,14.3,13.855,13.697,0.708166666666664,0.43994117647057696,0.8142093023255819,0.7140232558139532,-0.10018604651162866,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,84.858301,30.521584,1.0
