,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,em,RA,B-TS2,W1mag,DEC,BeC1,Type,objtype,BeC,class,EM2,ID,W2mag,Be_EM2,BeC2,SpT,Ref,B-TS1,GroupSize,EM1,GroupID,EMobj,obsid,subclass,PStar,B-TS
102,11.69,12.47,11.05,10.54,8.866000175476074,9.052,8.866,8.64,0,25.4437916666667,,9.315,61.3250166666667,0,Be,,0,,1,BD+60 307,9.277,1,0,B2Ve-B2Ve,BeSS-Chen2019,1,,,,,,,1.0,1
103,11.1,11.72,11.82,10.7,10.18,7.811,7.691,7.563,0,88.499375,,7.282,26.4225305555556,0,Be,,0,,1,HD 39478,7.038,1,0,B2Ve-B2Vn,BeSS-Chen2019,1,,,,,,,1.0,1
104,11.49,12.41,12.02,10.43,10.44,6.373,5.896,5.621,0,78.0604166666667,,5.453,41.2152055555556,0,Be,,0,,1,V415 Aur,5.163,1,0,B2Vnne-B1:e,BeSS-Chen2019,1,,,,,,,1.0,1
105,11.79,12.58,11.07,10.73,9.593999862670898,9.78,9.594,9.447,0,23.815375,,9.709,61.3846138888889,0,Be,,0,,1,EM* AS 28,9.616,1,0,B2Vnne-B2,BeSS-Chen2019,1,,,,,,,1.0,1
106,11.13,11.89,10.99,10.6,9.130000114440918,9.338,9.13,8.913,0,28.4512916666667,,8.56,60.5250805555556,0,Be,,0,,1,BD+59 343,8.287,1,0,B2Vnne-B2,BeSS-Chen2019,1,,,,,,,1.0,1
107,11.37,12.51,12.08,10.41,8.963000297546387,9.045,8.963,8.854,0,298.21425,,8.91,22.239625,0,Be,,0,,1,HD 345122,8.822,1,0,B2Vpe-B2Ve:p,BeSS-Chen2019,1,,,,,,,1.0,1
109,11.42,12.57,10.71,10.17,7.388000011444092,7.46,7.388,7.274,0,64.3182083333333,,6.281,46.2305472222222,0,Be,,0,,1,V586 Per,5.899,1,0,B2e-B2III:nnep,BeSS-Chen2019,1,,,,,,,1.0,1
110,10.39,11.29,11.12,10.79,9.756999969482422,9.823,9.757,9.721,0,29.50475,,9.669,61.574525,0,Be,,0,,1,BD+60 393,9.702,1,0,B2pe-B2ep,BeSS-Chen2019,1,,,,,,,1.0,1
111,11.85,12.56,10.46,9.95,8.229000091552734,8.445,8.229,8.006,0,33.1767083333333,,7.759,57.6921111111111,0,Be,,0,,1,BD+57 515,7.498,1,0,B2pe-B2ep,BeSS-Chen2019,1,,,,,,,1.0,1
113,1.0,14.29,13.07,12.17,10.28499984741211,10.716,10.285,9.849,0,10.8555833333333,,9.317,61.6398305555556,0,Be,,0,,1,EM* LkHA 201,8.934,1,0,B3Ve-B2e,BeSS-Chen2019,1,,,,,,,1.0,1
114,10.95,11.91,11.94,10.33,7.519000053405762,7.577,7.519,7.412,0,8.01183333333333,,7.335,67.1611333333333,0,Be,,0,,1,HD 2789,7.163,1,0,B3Vne-B2ne,BeSS-Chen2019,1,,,,,,,1.0,1
115,11.65,12.64,12.1,11.09,7.3379998207092285,7.505,7.338,7.261,0,19.612875,,7.127,61.8929138888889,0,Be,,0,,1,HD 7720,7.111,1,0,B5IIe-B2,BeSS-Chen2019,1,,,,,,,1.0,1
116,11.83,12.65,10.72,10.16,8.49899959564209,8.639,8.499,8.329,0,2.6955,,8.561,63.1729361111111,0,Be,,0,,1,BD+62 11,8.515,1,0,B5Ve-O9V,BeSS-Chen2019,1,,,,,,,1.0,1
117,1.0,12.85,12.28,11.49,10.659000396728516,10.825,10.659,10.463,0,26.627625,,9.667,61.2414611111111,0,Be,,0,,1,V984 Cas,9.415,1,0,B8e-B1Ve,BeSS-Chen2019,1,,,,,,,1.0,1
118,11.7,12.6,10.85,10.43,10.33,9.835,9.742,9.608,0,23.36975,,9.226,59.5006111111111,0,Be,,0,,1,EM* AS 25,8.982,1,0,BVnne-B1/2Vnne,BeSS-Chen2019,1,,,,,,,1.0,1
119,11.91,12.7,11.24,10.95,10.43299961090088,10.519,10.433,10.352,0,17.9799583333333,,10.353,59.3015694444444,0,Be,,0,,1,EM* MWC 685,10.263,1,0,Be-B1,BeSS-Chen2019,1,,,,,,,1.0,1
120,1.0,12.99,12.32,11.53,11.4,10.763,10.444,10.126,0,26.6483333333333,,9.762,61.2275194444444,0,Be,,0,,1,Cl* NGC 663 SAN 17,9.473,1,0,Be-B1Ve,BeSS-Chen2019,1,,,,,,,1.0,1
121,1.0,13.88,13.13,12.56,12.23,11.649,11.312,10.922,0,80.67925,,10.353,33.4181638888889,0,Be,,0,,1,Cl* NGC 1893 SPOP h,9.919,1,0,Be-B1Ve,BeSS-Chen2019,1,,,,,,,1.0,1
123,11.73,12.55,11.92,10.22,8.770999908447266,8.84,8.771,8.736,0,52.7455833333333,,8.699,59.2443194444444,0,Be,,0,,1,BD+58 610,8.722,1,0,Be-B2III:,BeSS-Chen2019,1,,,,,,,1.0,1
124,1.0,12.69,12.28,11.41,11.33,10.262,9.997,9.676,0,26.4837916666667,,9.571,61.2126111111111,0,Be,,0,,1,V976 Cas,9.323,1,0,Be-B2Ve,BeSS-Chen2019,1,,,,,,,1.0,1
