,a,b,f1
419,umag_rmag_Jmag,umag_Hamag_Hmag,0.6415094339622641
752,umag_Hamag_Jmag,imag_Hamag_Kmag,0.6411149825783972
428,umag_rmag_Jmag,gmag_rmag_Kmag,0.6404958677685951
477,umag_rmag_Hmag,gmag_imag_Hmag,0.6403508771929826
586,umag_imag_Hamag,imag_Hamag_Kmag,0.6401590457256462
343,umag_rmag_imag,gmag_Hmag_Kmag,0.6399999999999999
712,umag_imag_Kmag,imag_Hamag_Kmag,0.6396761133603239
32,umag_gmag_rmag,gmag_Jmag_Hmag,0.6396761133603239
940,umag_Hmag_Kmag,imag_Hmag_Kmag,0.6392156862745098
646,umag_imag_Hmag,gmag_rmag_Jmag,0.638949671772429
384,umag_rmag_Hamag,gmag_imag_Hmag,0.6385542168674698
338,umag_rmag_imag,gmag_Hamag_Jmag,0.6383838383838384
431,umag_rmag_Jmag,gmag_imag_Hmag,0.6382978723404256
269,umag_gmag_Kmag,umag_rmag_Kmag,0.6375545851528384
661,umag_imag_Hmag,rmag_imag_Hmag,0.6372745490981963
736,umag_Hamag_Jmag,gmag_Hamag_Kmag,0.6372360844529751
934,umag_Hmag_Kmag,rmag_Hmag_Kmag,0.6370656370656371
176,umag_gmag_Jmag,umag_Jmag_Hmag,0.6363636363636365
618,umag_imag_Jmag,rmag_imag_Jmag,0.6363636363636364
332,umag_rmag_imag,gmag_rmag_Hmag,0.6356275303643725
315,umag_rmag_imag,umag_rmag_Hamag,0.6355140186915887
361,umag_rmag_imag,Hamag_Jmag_Kmag,0.6352459016393442
669,umag_imag_Hmag,imag_Hamag_Jmag,0.6345811051693405
735,umag_Hamag_Jmag,gmag_Hamag_Hmag,0.6337448559670782
552,umag_imag_Hamag,umag_imag_Kmag,0.6334661354581673
413,umag_rmag_Jmag,umag_rmag_Kmag,0.6328125
542,umag_rmag_Kmag,imag_Hamag_Kmag,0.6323809523809525
563,umag_imag_Hamag,gmag_rmag_Kmag,0.6317829457364341
722,umag_Hamag_Jmag,umag_Jmag_Hmag,0.6313645621181262
496,umag_rmag_Hmag,imag_Hamag_Hmag,0.6305609284332688
904,umag_Jmag_Kmag,imag_Jmag_Kmag,0.6299810246679318
323,umag_rmag_imag,umag_Hamag_Jmag,0.6279069767441862
358,umag_rmag_imag,imag_Jmag_Kmag,0.6273684210526316
432,umag_rmag_Jmag,gmag_imag_Kmag,0.6268041237113402
604,umag_imag_Jmag,gmag_rmag_Jmag,0.6265060240963854
647,umag_imag_Hmag,gmag_rmag_Hmag,0.6263048016701461
751,umag_Hamag_Jmag,imag_Hamag_Hmag,0.625
371,umag_rmag_Hamag,umag_Hamag_Jmag,0.624505928853755
811,umag_Hamag_Kmag,gmag_Hamag_Jmag,0.6244897959183673
729,umag_Hamag_Jmag,gmag_rmag_Kmag,0.6243386243386243
743,umag_Hamag_Jmag,rmag_imag_Kmag,0.6240875912408759
732,umag_Hamag_Jmag,gmag_imag_Hmag,0.6240875912408759
791,umag_Hamag_Hmag,imag_Hamag_Kmag,0.6236162361623615
750,umag_Hamag_Jmag,imag_Hamag_Jmag,0.6217105263157894
368,umag_rmag_Hamag,umag_imag_Jmag,0.621676891615542
418,umag_rmag_Jmag,umag_Hamag_Jmag,0.6209677419354838
316,umag_rmag_imag,umag_rmag_Jmag,0.6201232032854209
630,umag_imag_Jmag,imag_Jmag_Hmag,0.6201232032854209
363,umag_rmag_imag,Jmag_Hmag_Kmag,0.6199575371549895
421,umag_rmag_Jmag,umag_Jmag_Hmag,0.6198347107438017
420,umag_rmag_Jmag,umag_Hamag_Kmag,0.6193293885601578
360,umag_rmag_imag,Hamag_Jmag_Hmag,0.6187363834422658
344,umag_rmag_imag,rmag_imag_Hamag,0.6184738955823293
489,umag_rmag_Hmag,rmag_Hamag_Jmag,0.6177606177606177
772,umag_Hamag_Hmag,gmag_imag_Kmag,0.6171428571428571
287,umag_gmag_Kmag,gmag_imag_Hmag,0.6167400881057269
665,umag_imag_Hmag,rmag_Hamag_Kmag,0.616600790513834
663,umag_imag_Hmag,rmag_Hamag_Jmag,0.6165413533834586
392,umag_rmag_Hamag,rmag_imag_Hamag,0.616
695,umag_imag_Kmag,gmag_Hamag_Hmag,0.6159844054580897
173,umag_gmag_Jmag,umag_Hamag_Jmag,0.6157112526539278
518,umag_rmag_Kmag,gmag_rmag_Hmag,0.6147186147186148
662,umag_imag_Hmag,rmag_imag_Kmag,0.6137339055793991
859,umag_Jmag_Hmag,rmag_Hamag_Hmag,0.6134969325153375
633,umag_imag_Jmag,Hamag_Jmag_Hmag,0.6123260437375746
319,umag_rmag_imag,umag_imag_Hamag,0.6123260437375746
223,umag_gmag_Hmag,umag_imag_Kmag,0.6122448979591836
195,umag_gmag_Jmag,rmag_imag_Jmag,0.6122448979591836
623,umag_imag_Jmag,rmag_Hamag_Kmag,0.612
367,umag_rmag_Hamag,umag_imag_Hamag,0.6119096509240246
342,umag_rmag_imag,gmag_Jmag_Kmag,0.6115702479338843
553,umag_imag_Hamag,umag_Hamag_Jmag,0.6110056925996205
964,gmag_rmag_imag,rmag_Hamag_Hmag,0.6105263157894737
362,umag_rmag_imag,Hamag_Hmag_Kmag,0.6097560975609757
822,umag_Hamag_Kmag,rmag_Hamag_Hmag,0.6097087378640776
810,umag_Hamag_Kmag,gmag_imag_Kmag,0.6088631984585742
721,umag_Hamag_Jmag,umag_Hamag_Kmag,0.608695652173913
612,umag_imag_Jmag,gmag_Hamag_Hmag,0.6081632653061224
442,umag_rmag_Jmag,rmag_imag_Kmag,0.6071428571428571
574,umag_imag_Hamag,rmag_imag_Hamag,0.6067864271457085
478,umag_rmag_Hmag,gmag_imag_Kmag,0.6046511627906977
450,umag_rmag_Jmag,imag_Hamag_Hmag,0.6039215686274509
359,umag_rmag_imag,imag_Hmag_Kmag,0.6038543897216274
783,umag_Hamag_Hmag,rmag_Hamag_Jmag,0.6035502958579881
178,umag_gmag_Jmag,umag_Hmag_Kmag,0.6035242290748899
320,umag_rmag_imag,umag_imag_Jmag,0.6033057851239669
299,umag_gmag_Kmag,rmag_Hamag_Jmag,0.603238866396761
580,umag_imag_Hamag,rmag_Hamag_Kmag,0.6030534351145038
439,umag_rmag_Jmag,rmag_imag_Hamag,0.6024096385542169
212,umag_gmag_Jmag,Hamag_Hmag_Kmag,0.6012793176972281
517,umag_rmag_Kmag,gmag_rmag_Jmag,0.6008583690987125
864,umag_Jmag_Hmag,imag_Hamag_Jmag,0.6008583690987125
655,umag_imag_Hmag,gmag_Hamag_Kmag,0.6008230452674898
746,umag_Hamag_Jmag,rmag_Hamag_Kmag,0.6003824091778202
562,umag_imag_Hamag,gmag_rmag_Hmag,0.6000000000000001
351,umag_rmag_imag,rmag_Jmag_Hmag,0.6000000000000001
963,gmag_rmag_imag,rmag_Hamag_Jmag,0.59958071278826
497,umag_rmag_Hmag,imag_Hamag_Kmag,0.5987780040733197
192,umag_gmag_Jmag,gmag_Jmag_Kmag,0.5981735159817352
331,umag_rmag_imag,gmag_rmag_Jmag,0.5975103734439834
706,umag_imag_Kmag,rmag_Hamag_Kmag,0.5973025048169557
412,umag_rmag_Jmag,umag_rmag_Hmag,0.5968992248062015
584,umag_imag_Hamag,imag_Hamag_Jmag,0.5967078189300412
839,umag_Jmag_Hmag,gmag_rmag_imag,0.5961123110151187
227,umag_gmag_Hmag,umag_Jmag_Hmag,0.5957446808510638
357,umag_rmag_imag,imag_Jmag_Hmag,0.5956521739130435
576,umag_imag_Hamag,rmag_imag_Hmag,0.595482546201232
579,umag_imag_Hamag,rmag_Hamag_Hmag,0.5949820788530467
855,umag_Jmag_Hmag,rmag_imag_Jmag,0.5930735930735931
997,gmag_rmag_Hamag,rmag_Hamag_Hmag,0.5930470347648262
569,umag_imag_Hamag,gmag_Hamag_Hmag,0.592445328031809
417,umag_rmag_Jmag,umag_imag_Kmag,0.592
624,umag_imag_Jmag,rmag_Jmag_Hmag,0.5918367346938775
742,umag_Hamag_Jmag,rmag_imag_Hmag,0.5914972273567466
208,umag_gmag_Jmag,imag_Jmag_Kmag,0.5914221218961625
353,umag_rmag_imag,rmag_Hmag_Kmag,0.5907172995780591
687,umag_imag_Kmag,gmag_rmag_Jmag,0.5900216919739697
641,umag_imag_Hmag,umag_Jmag_Hmag,0.5897435897435898
609,umag_imag_Jmag,gmag_imag_Hmag,0.5894736842105263
451,umag_rmag_Jmag,imag_Hamag_Kmag,0.5882352941176471
211,umag_gmag_Jmag,Hamag_Jmag_Kmag,0.5882352941176471
980,gmag_rmag_Hamag,gmag_rmag_Hmag,0.5872340425531914
202,umag_gmag_Jmag,rmag_Jmag_Kmag,0.5862884160756502
557,umag_imag_Hamag,umag_Jmag_Kmag,0.5859872611464968
605,umag_imag_Jmag,gmag_rmag_Hmag,0.5850622406639003
386,umag_rmag_Hamag,gmag_Hamag_Jmag,0.5841784989858012
277,umag_gmag_Kmag,umag_Jmag_Hmag,0.5836909871244635
166,umag_gmag_Jmag,umag_rmag_Jmag,0.5833333333333334
441,umag_rmag_Jmag,rmag_imag_Hmag,0.5833333333333334
570,umag_imag_Hamag,gmag_Hamag_Kmag,0.5831702544031311
682,umag_imag_Kmag,umag_Jmag_Hmag,0.5831533477321815
467,umag_rmag_Hmag,umag_Jmag_Hmag,0.5829787234042554
523,umag_rmag_Kmag,gmag_imag_Kmag,0.5829596412556054
971,gmag_rmag_imag,imag_Hamag_Kmag,0.5827814569536424
409,umag_rmag_Hamag,Hamag_Jmag_Kmag,0.5818965517241379
577,umag_imag_Hamag,rmag_imag_Kmag,0.5807770961145194
821,umag_Hamag_Kmag,rmag_Hamag_Jmag,0.5807770961145194
848,umag_Jmag_Hmag,gmag_Hamag_Jmag,0.579957356076759
610,umag_imag_Jmag,gmag_imag_Kmag,0.5797101449275363
948,gmag_rmag_imag,gmag_rmag_Kmag,0.5789473684210527
305,umag_gmag_Kmag,imag_Hamag_Jmag,0.5778688524590164
837,umag_Jmag_Hmag,umag_Jmag_Kmag,0.5775862068965517
512,umag_rmag_Kmag,umag_Jmag_Hmag,0.5775862068965517
535,umag_rmag_Kmag,rmag_Hamag_Hmag,0.5769980506822613
761,umag_Hamag_Hmag,umag_Jmag_Hmag,0.5762711864406779
379,umag_rmag_Hamag,gmag_rmag_Jmag,0.5761316872427984
856,umag_Jmag_Hmag,rmag_imag_Hmag,0.5757575757575758
345,umag_rmag_imag,rmag_imag_Jmag,0.5748987854251012
